school_name,address,postal_code,mrt_desc,bus_desc,latitude,longitude
NORTH SPRING PRIMARY SCHOOL,1    RIVERVALE STREET,545088,NEL - Sengkang Station LRT - Bakau Station,"SBS Transit Services 82, 85, 86, 88, 119, 136, 163, 372",1.38706146494859,103.903202683028
NORTH VIEW PRIMARY SCHOOL,210  YISHUN AVENUE 6,768960,Yishun Khatib,"Feeder Service 804, 806, 807, 860",1.42752327193727,103.848190787869
NORTH VISTA PRIMARY SCHOOL,20   Compassvale Link,544974,"Buangkok MRT (NE15), Ranggung LRT (SE5)",na,1.38282243016299,103.895961877928
NORTH VISTA SECONDARY SCHOOL,11   RIVERVALE LINK,545081,"SENGKANG MRT, BUANGKOK MRT, RANGGUNG LRT","80, 82, 87, 88, 89, 119",1.381131285358,103.899188813886
NORTHBROOKS SECONDARY SCHOOL,585  YISHUN RING ROAD,768692,"YISHUN MRT, KHATIB MRT","804, 806, 807, 860, 103",1.42081285020652,103.845147332528
NORTHLAND PRIMARY SCHOOL,15   YISHUN AVENUE 4,769026,Yishun MRT Station,812 (next to bus service number 171) at Yishun Interchange,1.42096989918951,103.840928424929
NORTHLAND SECONDARY SCHOOL,3    YISHUN STREET 22,768578,YISHUN MRT,"811, 804, 800",1.43580183362637,103.840104687784
NORTHLIGHT SCHOOL,151  Towner Road,327830,BOON KENG (NE9),"21, 125, 130, 139, 145, 13, 23, 31, 64, 65, 133, 147, 857, 985",1.3191002158167,103.85575955353
NORTHOAKS PRIMARY SCHOOL,61   Sembawang Drive,757622,Sembawang MRT,Bus number 962,1.45660782030102,103.814196981329
NORTHSHORE PRIMARY SCHOOL,30   Northshore Drive,828671,Puggol Point LRT Station,"84, 384",1.41813803336667,103.904416909742
NUS HIGH SCHOOL OF MATHEMATICS AND SCIENCE,20   Clementi Avenue 1,129957,Nearest MRT Stations - Clementi and Dover,"96, 97, 151, 183, 188, 189, 196, 197, 198",1.30615665859431,103.770148255807
OASIS PRIMARY SCHOOL,71   Edgefield Plains,828716,Damai LRT Station,"50, 386",1.40462413200793,103.911120600638
OPERA ESTATE PRIMARY SCHOOL,48   FIDELIO STREET,458436,"Bedok, Kembangan",42,1.31996876377748,103.923752668632
ORCHID PARK SECONDARY SCHOOL,10   YISHUN STREET 81,768454,KHATIB MRT,811,1.41532032779634,103.837859241343
OUTRAM SECONDARY SCHOOL,3    YORK HILL,168622,"OUTRAM PARK MRT, CHINATOWN MRT","174 , 123, 16, 175, 195, 33, 5, 63, 75, 851, 970, 123, 186, 51, 64",1.28651357464735,103.837127264403
PALM VIEW PRIMARY SCHOOL,150  Compassvale Bow,544822,Buangkok,"27,43,109,156,159,161,163,163M,550",1.38376923022123,103.891354675017
PARK VIEW PRIMARY SCHOOL,60   PASIR RIS DRIVE 1,519524,Pasir Ris MRT Station,"358,39,53,81,89",1.37738069854249,103.939541695654
PASIR RIS CREST SECONDARY SCHOOL,11   PASIR RIS STREET 41,518934,PASIR RIS MRT,"358, 17, 81, 12, 3",1.37284060102246,103.959728202919
PASIR RIS PRIMARY SCHOOL,5    PASIR RIS STREET 21,518968,Pasir Ris MRT,"3,5,6,89",1.37241870245531,103.962807212116
PASIR RIS SECONDARY SCHOOL,390  TAMPINES STREET 21,529400,"TAMPINES MRT, TAMPINES EAST MRT,  TAMPINES WEST MRT","3, 4, 8, 10, 15, 18, 19, 20, 21, 22, 23, 27, 28, 29, 31, 37, 38, 39, 46, 65, 67, 68, 69, 72, 81, 127, 129, 168, 291, 292, 293, 298, 969",1.37284060102246,103.959728202919
PAYA LEBAR METHODIST GIRLS' SCHOOL (PRIMARY),298  LORONG AH SOO,536741,"Kovan (NE13), Serangoon(NE12/CC13)","45, 53, 53M, 62, 113",1.34947276268396,103.884971343143
PAYA LEBAR METHODIST GIRLS' SCHOOL (SECONDARY),296  LOR AH SOO,536742,"KOVAN MRT, SERANGOON MRT","45, 53, 53M, 62, 113",1.35096755912522,103.885120050588
PEI CHUN PUBLIC SCHOOL,16   LORONG 7 TOA PAYOH,319320,Toa Payoh MRT Station and Braddell MRT Station,"Bus Service 232, 57",1.33677864390672,103.855341310212
PEI HWA PRESBYTERIAN PRIMARY SCHOOL,7    PEI WAH AVENUE,597610,Beauty World,"970, 852, 174, 173, 157, 77, 61",1.33805634613048,103.776106448614
