licence_numbers,business_name,name_of_license,premise_address,trimmed_address,latitude,longitude
NE12B79A000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"612 PUNGGOL DRIVE #01-06, S(820612)",612 PUNGGOL DRIVE ,1.40416431665459,103.909117742952
NE12I65N000,LI LI CHENG SUPERMARKET (PUNGGOL) PTE. LTD.,LI LI CHENG SUPERMARKET (PUNGGOL) PTE. LTD.,"273C PUNGGOL PLACE #01-884, PUNGGOL REGALIA S(823273)",273C PUNGGOL PLACE ,1.40230301367166,103.901262391698
NE13M11K000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"622D PUNGGOL CENTRAL #01-06, PUNGGOL SPECTRA S(824622)",622D PUNGGOL CENTRAL ,1.40053114998822,103.910536919134
NE14190K000,VIVA MART ENTERPRISES,VIVA CORP SERVICES PTE. LTD.,"23 KAKI BUKIT ROAD 3 #01-02, THE LEO S(415812)",23 KAKI BUKIT ROAD 3 ,1.33733862669183,103.903735075266
NE15002X000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"506 TAMPINES CENTRAL 1 #01-361, S11 COURT S(520506)",506 TAMPINES CENTRAL 1 ,1.35595238706011,103.945937400867
NE15006K000,SFERM,SFERM PTE. LTD.,"78 SERANGOON GARDEN WAY #01-01, SERANGOON GARDEN ESTATE S(555974)",78 SERANGOON GARDEN WAY ,1.36428136996969,103.86513393838
NE15211C000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"312A SUMANG LINK #01-04, PUNGGOL PARCVISTA S(821312)",312A SUMANG LINK ,1.41081926900094,103.900371677782
NE15276N000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"527D PASIR RIS STREET 51 #01-01, COSTA RIS S(514527)",527D PASIR RIS STREET 51 ,1.36968625501963,103.947922425135
NE15440C000,U Stars Supermarket,U STARS SUPERMARKET PTE. LTD.,"261 PUNGGOL WAY #01-02, PUNGGOL TOPAZ S(820261) MULTI STOREY CAR PARK",261 PUNGGOL WAY ,1.40592709928122,103.897013157327
NE15467C000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"476 UPPER SERANGOON VIEW #02-18, PUNGGOL TOPAZ S(530476) MULTI STOREY CAR PARK",476 UPPER SERANGOON VIEW ,1.37743337773735,103.903713550367
NE15476B000,HAO MART,HAO MART PTE. LTD.,"308C PUNGGOL WALK #01-352, WATERWAY TERRACES I S(823308)",308C PUNGGOL WALK ,1.40800694944027,103.899074357998
NE15611B000,GIANT,COLD STORAGE SINGAPORE (1983) PTE LTD,"671 EDGEFIELD PLAINS #02-01, S(820671)",671 EDGEFIELD PLAINS ,1.40566048045603,103.911991277154
NE15760A000,RAW MARKET,RAW MARKET PTE. LTD.,"11 PASIR RIS LINK #01-48, SEASTRAND S(518180)",11 PASIR RIS LINK ,1.37558830923856,103.960839727163
NE15762X000,FAIRPRICE FINEST,NTUC FAIRPRICE CO-OPERATIVE LTD,"83 PUNGGOL CENTRAL #B2-32, WATERWAY POINT S(828761)",83 PUNGGOL CENTRAL ,1.4064128346795,103.902188891645
NE16139A000,GIANT,COLD STORAGE SINGAPORE (1983) PTE LTD,"259 PASIR RIS STREET 21 #01-27, S(510259)",259 PASIR RIS STREET 21 ,1.36645364010349,103.964598499523
NE16363K000,COLD STORAGE,COLD STORAGE SINGAPORE (1983) PTE LTD,"1 SENGKANG SQUARE #B1-25, COMPASS ONE S(545078) 1 SENGKANG MALL (1SM)",1 SENGKANG SQUARE ,1.39205314156706,103.89507054384
NE16640E000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"51 TAMPINES AVENUE 4 #B1-01, OUR TAMPINES HUB S(529684)",51 TAMPINES AVENUE 4 ,1.37127498583676,103.927049653689
NE16747J000,U Stars Supermarket,U STARS SUPERMARKET PTE. LTD.,"218 SUMANG WALK #01-01, S(820218)",218 SUMANG WALK ,1.40322712524584,103.89538702242
NE16875P000,HAO MART,HAO MART PTE. LTD.,"487B TAMPINES STREET 45 #B1-123, S(521487)",487B TAMPINES STREET 45 ,1.36026524882674,103.958372350188
NE17023N000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"258 PASIR RIS STREET 21 #02-10, LOYANG POINT S(510258)",258 PASIR RIS STREET 21 ,1.36706634197242,103.964635610477
NE17098V000,U Stars Supermarket,U STARS SUPERMARKET PTE. LTD.,"215C COMPASSVALE DRIVE #01-01, S(543215)",215C COMPASSVALE DRIVE ,1.38977026274295,103.892787161183
NE17390X000,U Stars Supermarket,U STARS SUPERMARKET PTE. LTD.,"878C TAMPINES AVENUE 8 #01-65, S(523878)",878C TAMPINES AVENUE 8 ,1.35126411286423,103.929363834798
NE17563L000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"872C TAMPINES STREET 86 #02-01, S(523872)",872C TAMPINES STREET 86 ,1.3552264706361,103.931626253992
NE17700J000,SHENG SIONG SUPERMARKET,SHENG SIONG SUPERMARKET PTE LTD,"660A EDGEDALE PLAINS #01-01, WATERWAY SUNDEW S(821660)",660A EDGEDALE PLAINS ,1.40262197348865,103.916519598298
NE18066E000,-,ISYMI PTE. LTD.,"183 JALAN PELIKAT #01-12, THE PROMENADE@PELIKAT S(537643)",183 JALAN PELIKAT ,1.35530904178242,103.887857183262
NE18169P000,FAIRPRICE,NTUC FAIRPRICE CO-OPERATIVE LTD,"681 PUNGGOL DRIVE #B1-01, S(820681)",681 PUNGGOL DRIVE ,1.40278015725693,103.913215101343
NE18339P000,The Seafood Market Place by Song Fish,SONG FISH DEALER PTE LTD,"2 TAMPINES CENTRAL 5 #B1-08, CENTURY SQUARE S(529509)",2 TAMPINES CENTRAL 5 ,1.35236829566862,103.943812302253
